name,url,level,school,casting_time,range,components,concentration,ritual,description,source
Reincarnate,https://www.aidedd.org/dnd/sorts.php?vo=reincarnate,Level 5,transmutation,1 hour,Touch,"V,S,M",No,No,Reincarnate the soul of a humanoid died for no longer than 10 days. The race of the new body is determined at random.,Player´s Handbook (SRD)
Remove Curse,https://www.aidedd.org/dnd/sorts.php?vo=remove-curse,Level 3,abjuration,1 action,Touch,"V,S",No,No,End all curses affecting one creature or object.,Player´s Handbook (SRD)
Resistance,https://www.aidedd.org/dnd/sorts.php?vo=resistance,Cantrip,abjuration,1 action,Touch,"V,S,M",Yes,No,The target can add 1d4 to one saving throw of its choice.,Player´s Handbook (SRD)
Resurrection,https://www.aidedd.org/dnd/sorts.php?vo=resurrection,Level 7,necromancy,1 hour,Touch,"V,S,M",No,No,Take back to life (all hp) a creature died for no longer than 100 years (except of old age). Restore any missing body parts.,Player´s Handbook (SRD)
Reverse Gravity,https://www.aidedd.org/dnd/sorts.php?vo=reverse-gravity,Level 7,transmutation,1 action,100 ft,"V,S,M",Yes,No,"Invert gravity in a 50-ft-radius, 100-ft-high cylinder.",Player´s Handbook (SRD)
Revivify,https://www.aidedd.org/dnd/sorts.php?vo=revivify,Level 3,necromancy,1 action,Touch,"V,S,M",No,No,Take back to 1 hp a creature that has died within the last minute (except of old age).,Player´s Handbook (SRD)
Rope Trick,https://www.aidedd.org/dnd/sorts.php?vo=rope-trick,Level 2,transmutation,1 action,Touch,"V,S,M",No,No,Vertically raise a rope that lead to an extradimensional space that can hold 8 Medium creatures.,Player´s Handbook (SRD)
Sacred Flame,https://www.aidedd.org/dnd/sorts.php?vo=sacred-flame,Cantrip,evocation,1 action,60 ft,"V,S",No,No,The target must succeed on a Dex. save or take 1d8 radiant damage (damage/lvl).,Player´s Handbook (SRD)
Sanctuary,https://www.aidedd.org/dnd/sorts.php?vo=sanctuary,Level 1,abjuration,1 bonus action,30 ft,"V,S,M",No,No,The protected creature forces a Wis. save to his aggressor in case of attack or offensive spell to no longer be the target.,Player´s Handbook (SRD)
Scatter,https://www.aidedd.org/dnd/sorts.php?vo=scatter,Level 6,conjuration,1 action,30 ft,V,No,No,Up to 5 creatures are teleported (Wis. save if unwilling) within 120 ft.,Xanathar´s Guide to Everything
Scorching Ray,https://www.aidedd.org/dnd/sorts.php?vo=scorching-ray,Level 2,evocation,1 action,120 ft,"V,S",No,No,"If the ranged spell attacks hit, 3 rays deal 2d6 fire damage each (+1 ray/lvl).",Player´s Handbook (SRD)
Scrying,https://www.aidedd.org/dnd/sorts.php?vo=scrying,Level 5,divination,10 minutes,Self,"V,S,M",Yes,No,Allow you to see and hear a specific creature (can also target a location) on the same plane (Wis. save).,Player´s Handbook (SRD)
Searing Smite,https://www.aidedd.org/dnd/sorts.php?vo=searing-smite,Level 1,evocation,1 bonus action,Self,V,Yes,No,"If the attack hits, deals an extra 1d6 fire damage and ignite the target (damage/lvl).",Player´s Handbook
See Invisibility,https://www.aidedd.org/dnd/sorts.php?vo=see-invisibility,Level 2,divination,1 action,Self,"V,S,M",No,No,"The caster sees invisible creatures and objects, and into the Ethereal Plane.",Player´s Handbook (SRD)
Seeming,https://www.aidedd.org/dnd/sorts.php?vo=seeming,Level 5,illusion,1 action,30 ft,"V,S",No,No,Change physical appearance as well as clothing and equipment of targets (saving throw for unwilling).,Player´s Handbook (SRD)
Sending,https://www.aidedd.org/dnd/sorts.php?vo=sending,Level 3,evocation,1 action,Unlimited,"V,S,M",No,No,"Send a 25-words message to a creature you are familiar with, regardless of the distance or the plan. It can answer it.",Player´s Handbook (SRD)
Sequester,https://www.aidedd.org/dnd/sorts.php?vo=sequester,Level 7,transmutation,1 action,Touch,"V,S,M",No,No,Protect a willing creature (who becomes invisible and unconscious) or an object from divination spells.,Player´s Handbook (SRD)
Shadow Blade,https://www.aidedd.org/dnd/sorts.php?vo=shadow-blade,Level 2,illusion,1 bonus action,Self,"V,S",Yes,No,"Create a weapon that deals 2d8 psychic damage with the finesse, light, and thrown properties (damage/lvl).",Xanathar´s Guide to Everything
Shadow of Moil,https://www.aidedd.org/dnd/sorts.php?vo=shadow-of-moil,Level 4,necromancy,1 action,Self,"V,S,M",Yes,No,Tha caster gains resistance to radiant damage and deals 2d8 necrotic damage to creatures that hit him with an attack.,Xanathar´s Guide to Everything
Shape Water,https://www.aidedd.org/dnd/sorts.php?vo=shape-water,Cantrip,transmutation,1 action,30 ft,S,No,No,"Control water to obtain various minor effects such as changing color, freezing, changing the flow, etc.",Xanathar´s Guide to Everything
Shapechange,https://www.aidedd.org/dnd/sorts.php?vo=shapechange,Level 9,transmutation,1 action,Self,"V,S,M",Yes,No,The caster takes the form of a creature he has seen at least once with a CR equal to its level or lower.,Player´s Handbook (SRD)
Shatter,https://www.aidedd.org/dnd/sorts.php?vo=shatter,Level 2,evocation,1 action,60 ft,"V,S,M",No,No,Creatures in a 10-ft-radius sphere must succeed on a Con. save or take 3d8 thunder damage (damage/lvl).,Player´s Handbook (SRD)
Shield,https://www.aidedd.org/dnd/sorts.php?vo=shield,Level 1,abjuration,1 reaction,Self,"V,S",No,No,"In reaction, the caster gains a +5 bonus to AC and take no damage from the magic missile spell.",Player´s Handbook (SRD)
Shield of Faith,https://www.aidedd.org/dnd/sorts.php?vo=shield-of-faith,Level 1,abjuration,1 bonus action,60 ft,"V,S,M",Yes,No,The target gets a +2 bonus to AC.,Player´s Handbook (SRD)
Shillelagh,https://www.aidedd.org/dnd/sorts.php?vo=shillelagh,Cantrip,transmutation,1 bonus action,Touch,"V,S,M",No,No,Make magical a wooden weapon. Its damage become a d8 and the caster can use his spellcasting ability instead of Strength.,Player´s Handbook (SRD)
Shocking Grasp,https://www.aidedd.org/dnd/sorts.php?vo=shocking-grasp,Cantrip,evocation,1 action,Touch,"V,S",No,No,"If the spell attack hits, deals 1d8 lightning damage (damage/lvl) and the target can't take reactions.",Player´s Handbook (SRD)
Sickening Radiance,https://www.aidedd.org/dnd/sorts.php?vo=sickening-radiance,Level 4,evocation,1 action,120 ft,"V,S",Yes,No,Creatures in a 30-ft radius must succeed on a Con. save or take 4d10 radiant damage and one level of exhaustion.,Xanathar´s Guide to Everything
Silence,https://www.aidedd.org/dnd/sorts.php?vo=silence,Level 2,illusion,1 action,120 ft,"V,S",Yes,Yes,Block all sounds within a 20-ft-radius sphere.,Player´s Handbook (SRD)
Silent Image,https://www.aidedd.org/dnd/sorts.php?vo=silent-image,Level 1,illusion,1 action,60 ft,"V,S,M",Yes,No,Create the image of an object or a creature (without sound and no larger than a 15-ft cube) and lets it move.,Player´s Handbook (SRD)
Simulacrum,https://www.aidedd.org/dnd/sorts.php?vo=simulacrum,Level 7,illusion,12 hours,Touch,"V,S,M",No,No,"Create a duplicate of a beast or humanoid with the same abilities, half of the hp and without equipment.",Player´s Handbook (SRD)
Skill Empowerment,https://www.aidedd.org/dnd/sorts.php?vo=skill-empowerment,Level 5,transmutation,1 action,Touch,"V,S",Yes,No,The target doubles its proficiency bonus for one skill.,Xanathar´s Guide to Everything
Skywrite,https://www.aidedd.org/dnd/sorts.php?vo=skywrite,Level 2,transmutation,1 action,Sight,"V,S",Yes,Yes,Create up to 10 words in the clouds.,Xanathar´s Guide to Everything
Sleep,https://www.aidedd.org/dnd/sorts.php?vo=sleep,Level 1,enchantment,1 action,90 ft,"V,S,M",No,No,"5d8 hp of creatures fall unconscious, starting with the creature with the lowest current hp (+2d8 hp/lvl).",Player´s Handbook (SRD)
Sleet Storm,https://www.aidedd.org/dnd/sorts.php?vo=sleet-storm,Level 3,conjuration,1 action,150 ft,"V,S,M",Yes,No,"Creatures in a 20-ft-radius, 20-ft-tall cylinder (heavily obscured) must succeed on a Dex. save or fall prone.",Player´s Handbook (SRD)
Slow,https://www.aidedd.org/dnd/sorts.php?vo=slow,Level 3,transmutation,1 action,120 ft,"V,S,M",Yes,No,"Up to 6 targets must succeed on a Wis. save, or have their speed and actions reduced and -2 to AC and Dex. saves.",Player´s Handbook (SRD)
Snare,https://www.aidedd.org/dnd/sorts.php?vo=snare,Level 1,abjuration,1 minute,Touch,"S,M",No,No,Create a magic trap (Dex. save or the Small to Large size creature is hoisted into the air).,Xanathar´s Guide to Everything
Snilloc's Snowball Swarm,https://www.aidedd.org/dnd/sorts.php?vo=snilloc-s-snowball-swarm,Level 2,evocation,1 action,90 ft,"V,S,M",No,No,Creatures in a 5-ft-radius sphere must succeed on a Dex. save or take 3d6 cold damage (damage/lvl).,Xanathar´s Guide to Everything
Soul Cage,https://www.aidedd.org/dnd/sorts.php?vo=soul-cage,Level 6,necromancy,1 reaction,60 ft,"V,S,M",No,No,"Snatch a soul to regain hp, ask it a question, get advantage to a roll, or see a place it saw in life.",Xanathar´s Guide to Everything
Spare the Dying,https://www.aidedd.org/dnd/sorts.php?vo=spare-the-dying,Cantrip,necromancy,1 action,Touch,"V,S",No,No,1 living creature with 0 hit points becomes stable.,Player´s Handbook (SRD)
Speak with Animals,https://www.aidedd.org/dnd/sorts.php?vo=speak-with-animals,Level 1,divination,1 action,Self,"V,S",No,Yes,The caster communicates with beats that can share information or help.,Player´s Handbook (SRD)
Speak with Dead,https://www.aidedd.org/dnd/sorts.php?vo=speak-with-dead,Level 3,necromancy,1 action,10 ft,"V,S,M",No,No,Allow a corpse that still has a mouth and is not an undead to answer 5 questions to the caster.,Player´s Handbook (SRD)
Speak with Plants,https://www.aidedd.org/dnd/sorts.php?vo=speak-with-plants,Level 3,transmutation,1 action,Self (30-ft radius),"V,S",No,No,"The caster can communicate with plants within 30 ft, and turns difficult terrain into ordinary terrain or vice versa.",Player´s Handbook (SRD)
Spider Climb,https://www.aidedd.org/dnd/sorts.php?vo=spider-climb,Level 2,transmutation,1 action,Touch,"V,S,M",Yes,No,The target can move along vertical surfaces while leaving its hands free and gains climbing speed.,Player´s Handbook (SRD)
Spike Growth,https://www.aidedd.org/dnd/sorts.php?vo=spike-growth,Level 2,transmutation,1 action,150 ft,"V,S,M",Yes,No,Creatures in a 20-ft radius (difficult terrain) take 2d4 piercing damage for every 5 ft of movement.,Player´s Handbook (SRD)
Spirit Guardians,https://www.aidedd.org/dnd/sorts.php?vo=spirit-guardians,Level 3,conjuration,1 action,Self (15-ft radius),"V,S,M",Yes,No,Targets in a 15-ft radius must succeed on a Wis. save or take 3d8 radiant or necrotic damage (damage/lvl).,Player´s Handbook (SRD)
Spirit Shroud,https://www.aidedd.org/dnd/sorts.php?vo=spirit-shroud,Level 3,necromancy,1 bonus action,Self,"V,S",Yes,No,"If the attack hits, deals an extra 1d8 radiant, necrotic, or cold damage. Target can't regain hp this turn (damage/lvl).",Tasha´s Cauldron of Everything
Spiritual Weapon,https://www.aidedd.org/dnd/sorts.php?vo=spiritual-weapon,Level 2,evocation,1 bonus action,60 ft,"V,S",No,No,"If the spell attack hits, deals 1d8+Ability.Mod force damage (damage/lvl). A bonus action allows another attack.",Player´s Handbook (SRD)
Staggering Smite,https://www.aidedd.org/dnd/sorts.php?vo=staggering-smite,Level 4,evocation,1 bonus action,Self,V,Yes,No,"If the attack hits, deals an extra 4d6 pyschic damage and the target must succeed on a Wis. save or have a disadvantage.",Player´s Handbook
Steel Wind Strike,https://www.aidedd.org/dnd/sorts.php?vo=steel-wind-strike,Level 5,conjuration,1 action,30 ft,"S,M",No,No,"If the spell attack hits, deals 6d10 force damage to 5 creatures, then the caster teleports.",Xanathar´s Guide to Everything
Stinking Cloud,https://www.aidedd.org/dnd/sorts.php?vo=stinking-cloud,Level 3,conjuration,1 action,90 ft,"V,S,M",Yes,No,Creatures in a 20-ft-radius sphere must succeed on a Con. save or spend their action that turn retching and reeling.,Player´s Handbook (SRD)
Stone Shape,https://www.aidedd.org/dnd/sorts.php?vo=stone-shape,Level 4,transmutation,1 action,Touch,"V,S,M",No,No,"Give a stone no more than 5 ft in any dimension any shape, or create an opening in it.",Player´s Handbook (SRD)
Stoneskin,https://www.aidedd.org/dnd/sorts.php?vo=stoneskin,Level 4,abjuration,1 action,Touch,"V,S,M",Yes,No,"The target gets resistance to nonmagical bludgeoning, piercing, and slashing damage.",Player´s Handbook (SRD)
Storm of Vengeance,https://www.aidedd.org/dnd/sorts.php?vo=storm-of-vengeance,Level 9,conjuration,1 action,Sight,"V,S",Yes,No,Creatures in a 360-ft radius must succeed on a Con. save or be deafened and suffer various damage and effects.,Player´s Handbook (SRD)
Storm Sphere,https://www.aidedd.org/dnd/sorts.php?vo=storm-sphere,Level 4,evocation,1 action,150 ft,"V,S",Yes,No,Creatures in a 20-ft-radius sphere must succeed on a Str. save or take 2d6 bludgeoning damage (damage/lvl).,Xanathar´s Guide to Everything
Suggestion,https://www.aidedd.org/dnd/sorts.php?vo=suggestion,Level 2,enchantment,1 action,30 ft,"V,M",Yes,No,The target must succeed on a Wis. save or follow the suggestion given by the caster in one or two sentences.,Player´s Handbook (SRD)
Summon Aberration,https://www.aidedd.org/dnd/sorts.php?vo=summon-aberration,Level 4,conjuration,1 action,90 ft,"V,S,M",Yes,No,"Summon 1 aberrant spirit (beholderkin, slaad, or star spawn), friendly (stat block/your lvl).",Tasha´s Cauldron of Everything
Summon Beast,https://www.aidedd.org/dnd/sorts.php?vo=summon-beast,Level 2,conjuration,1 action,90 ft,"V,S,M",Yes,No,"Summon 1 bestial spirit (air, land, or water), friendly (stat block/your lvl).",Tasha´s Cauldron of Everything
Summon Celestial,https://www.aidedd.org/dnd/sorts.php?vo=summon-celestial,Level 5,conjuration,1 action,90 ft,"V,S,M",Yes,No,"Summon 1 celestial spirit (avenger or defender), friendly (stat block/your lvl).",Tasha´s Cauldron of Everything
Summon Construct,https://www.aidedd.org/dnd/sorts.php?vo=summon-construct,Level 4,conjuration,1 action,90 ft,"V,S,M",Yes,No,"Summon 1 spirit of a construct (clay, metal, or stone), friendly (stat block/your lvl).",Tasha´s Cauldron of Everything
Summon Elemental,https://www.aidedd.org/dnd/sorts.php?vo=summon-elemental,Level 4,conjuration,1 action,90 ft,"V,S,M",Yes,No,"Summon 1 elemental spirit (air, earth, fire, or water), friendly (stat block/your lvl).",Tasha´s Cauldron of Everything
Summon Fey,https://www.aidedd.org/dnd/sorts.php?vo=summon-fey,Level 3,conjuration,1 action,90 ft,"V,S,M",Yes,No,"Summon 1 fey spirit (fuming, mirthful, or tricksy), friendly (stat block/your lvl).",Tasha´s Cauldron of Everything
Summon Fiend,https://www.aidedd.org/dnd/sorts.php?vo=summon-fiend,Level 6,conjuration,1 action,90 ft,"V,S,M",Yes,No,"Summon 1 fiendish spirit (demon, devil, or yugoloth), friendly (stat block/your lvl).",Tasha´s Cauldron of Everything
Summon Greater Demon,https://www.aidedd.org/dnd/sorts.php?vo=summon-greater-demon,Level 4,conjuration,1 action,60 ft,"V,S,M",Yes,No,"Summon 1 CR 5 demon, friendly (CR +1/lvl).",Xanathar´s Guide to Everything
Summon Lesser Demons,https://www.aidedd.org/dnd/sorts.php?vo=summon-lesser-demons,Level 3,conjuration,1 action,60 ft,"V,S,M",Yes,No,"Summon 2 CR 1 demons 1 to 8 CR 1/4 demons, unfriendly (nbr of creatures/lvl).",Xanathar´s Guide to Everything
Summon Shadowspawn,https://www.aidedd.org/dnd/sorts.php?vo=summon-shadowspawn,Level 3,conjuration,1 action,90 ft,"V,S,M",Yes,No,"Summon 1 shadowy spirit (fury, despair, or fear), friendly (stat block/your lvl).",Tasha´s Cauldron of Everything
Summon Undead,https://www.aidedd.org/dnd/sorts.php?vo=summon-undead,Level 3,necromancy,1 action,90 ft,"V,S,M",Yes,No,"Summon 1 undead spirit (ghostly, putrid, or skeletal), friendly (stat block/your lvl).",Tasha´s Cauldron of Everything
Sunbeam,https://www.aidedd.org/dnd/sorts.php?vo=sunbeam,Level 6,evocation,1 action,Self (60-ft line),"V,S,M",Yes,No,"Creatures on a 5-ft-wide, 60-ft-long line must succeed on a Con. save or take 6d8 radiant damage and be blinded.",Player´s Handbook (SRD)
Sunburst,https://www.aidedd.org/dnd/sorts.php?vo=sunburst,Level 8,evocation,1 action,150 ft,"V,S,M",No,No,Creatures in a 60-ft radius must succeed on a Con. save or take 12d6 radiant damage and be blinded for 1 min.,Player´s Handbook (SRD)
Swift Quiver,https://www.aidedd.org/dnd/sorts.php?vo=swift-quiver,Level 5,transmutation,1 bonus action,Touch,"V,S,M",Yes,No,"Make a quiver to produce an endless supply of nonmagical ammunition, allowing 2 attacks per round with a bonus action.",Player´s Handbook
Sword Burst,https://www.aidedd.org/dnd/sorts.php?vo=sword-burst,Cantrip,conjuration,1 action,Self (5-ft radius),V,No,No,Creatures in a 5-ft radius must succeed on a Dex. save or take 1d6 force damage (damage/lvl).,Tasha´s Cauldron of Everything
Symbol,https://www.aidedd.org/dnd/sorts.php?vo=symbol,Level 7,abjuration,1 minute,Touch,"V,S,M",No,No,"Set the trigger and the effect of a glyph on an object (death, discord, fear, hopelessness, insanity, pain, sleep, etc).",Player´s Handbook (SRD)
Synaptic Static,https://www.aidedd.org/dnd/sorts.php?vo=synaptic-static,Level 5,enchantment,1 action,120 ft,"V,S",No,No,Creatures in a 20-ft radius must succeed on an Int. save or take 8d6 psychic damage.,Xanathar´s Guide to Everything
Tasha's Caustic Brew,https://www.aidedd.org/dnd/sorts.php?vo=tasha-s-caustic-brew,Level 1,evocation,1 action,Self (30-ft line),"V,S,M",Yes,No,Creatures in a 30 ft long 5 ft wide line must succeed on a Dex. save or take 2d4 acid damage each turn (+2d4/lvl).,Tasha´s Cauldron of Everything
Tasha's Hideous Laughter,https://www.aidedd.org/dnd/sorts.php?vo=tasha-s-hideous-laughter,Level 1,enchantment,1 action,30 ft,"V,S,M",Yes,No,"The target must succeed on a Wis. save or falls into fits of laughter, fall prone and becoming incapacitated.",Player´s Handbook (SRD)
Tasha's Mind Whip,https://www.aidedd.org/dnd/sorts.php?vo=tasha-s-mind-whip,Level 2,enchantment,1 action,90 ft,V,No,No,Target must succeed on an Int. save or take 3d6 psychic damage and choose to move or take an action next turn (+1 creature/lvl).,Tasha´s Cauldron of Everything
Tasha's Otherworldly Guise,https://www.aidedd.org/dnd/sorts.php?vo=tasha-s-otherworldly-guise,Level 6,transmutation,1 bonus action,Self,"V,S,M",Yes,No,"Immune to fire/poison or radiant/necrotic damage, 40 ft flying speed, +2 AC bonus, weapons are magical, 2 attacks.",Tasha´s Cauldron of Everything
Telekinesis,https://www.aidedd.org/dnd/sorts.php?vo=telekinesis,Level 5,transmutation,1 action,60 ft,"V,S",Yes,No,"Move a creature (Huge or smaller) or object (up to 1,000 pounds) by thought in case of successful contest.",Player´s Handbook (SRD)
Telepathy,https://www.aidedd.org/dnd/sorts.php?vo=telepathy,Level 8,evocation,1 action,Unlimited,"V,S,M",No,No,Comunicate via telepathy with a known and willing creature on the same plane of existence.,Player´s Handbook
Teleport,https://www.aidedd.org/dnd/sorts.php?vo=teleport,Level 7,conjuration,1 action,10 ft,V,No,No,The caster and 8 creatures are teleported anywhere on the same plane. Risk of failure depending on the destination familiarity.,Player´s Handbook (SRD)
Teleportation Circle,https://www.aidedd.org/dnd/sorts.php?vo=teleportation-circle,Level 5,conjuration,1 minute,10 ft,"V,M",No,No,Create a circle that allows anyone to be teleported to another teleportation circle known to the caster.,Player´s Handbook (SRD)
Temple of the Gods,https://www.aidedd.org/dnd/sorts.php?vo=temple-of-the-gods,Level 7,conjuration,1 hour,120 ft,"V,S,M",No,No,Let erupt a temple dedicated to a god on a 120 x 120 ft area for 1 day.,Xanathar´s Guide to Everything
Tenser's Floating Disk,https://www.aidedd.org/dnd/sorts.php?vo=tenser-s-floating-disk,Level 1,conjuration,1 action,30 ft,"V,S,M",No,Yes,Create a floating 3-ft-diameter disk that can support up to 500 pounds and follows the caster.,Player´s Handbook (SRD)
Tenser's Transformation,https://www.aidedd.org/dnd/sorts.php?vo=tenser-s-transformation,Level 6,transmutation,1 action,Self,"V,S,M",Yes,No,"The caster gains 50 hp, advantage to attack rolls, an extra 2d12 force damage, martial proficiencies and two attacks per round.",Xanathar´s Guide to Everything
Thaumaturgy,https://www.aidedd.org/dnd/sorts.php?vo=thaumaturgy,Cantrip,transmutation,1 action,30 ft,V,No,No,Create various minor effects to impress or distract creatures.,Player´s Handbook (SRD)
Thorn Whip,https://www.aidedd.org/dnd/sorts.php?vo=thorn-whip,Cantrip,transmutation,1 action,30 ft,"V,S,M",No,No,"If the attack hits, deals 1d6 piercing damage and pull the target (Larger or smaller) up to 10 ft (damage/lvl).",Player´s Handbook (BR+)
Thunder Step,https://www.aidedd.org/dnd/sorts.php?vo=thunder-step,Level 3,conjuration,1 action,90 ft,V,No,No,The caster teleports and creatures within 10 ft must succeed on a Con. save or take 3d10 thunder damage.,Xanathar´s Guide to Everything
Thunderclap,https://www.aidedd.org/dnd/sorts.php?vo=thunderclap,Cantrip,evocation,1 action,5 ft,S,No,No,Creatures within 5 ft must succeed on a Con. save or take 1d6 thunder damage (damage/lvl).,Xanathar´s Guide to Everything
Thunderous Smite,https://www.aidedd.org/dnd/sorts.php?vo=thunderous-smite,Level 1,evocation,1 bonus action,Self,V,Yes,No,"If the attack hits, deals an extra 2d6 thunder damage, and target must succeed on a Str. save or be pushed and knocked prone.",Player´s Handbook
Thunderwave,https://www.aidedd.org/dnd/sorts.php?vo=thunderwave,Level 1,evocation,1 action,Self (15-ft cube),"V,S",No,No,Creatures in a 15-ft cube must succeed on a Con. save or take 2d8 thunder damage (damage/lvl).,Player´s Handbook (SRD)
Tidal Wave,https://www.aidedd.org/dnd/sorts.php?vo=tidal-wave,Level 3,conjuration,1 action,120 ft,"V,S,M",No,No,Creatures in an 30 x 10 x 10 ft area must succeed on Dex. save or take 4d8 bludgeoning damage and be knocked prone.,Xanathar´s Guide to Everything
Time Stop,https://www.aidedd.org/dnd/sorts.php?vo=time-stop,Level 9,transmutation,1 action,Self,V,No,No,Stop the time during 1d4+1 turns for everyone except for the caster.,Player´s Handbook (SRD)
Tiny Servant,https://www.aidedd.org/dnd/sorts.php?vo=tiny-servant,Level 3,transmutation,1 minute,Touch,"V,S",No,No,Transform one Tiny object into a creature with arms and legs under the caster control (+2 objects/lvl).,Xanathar´s Guide to Everything
Toll the Dead,https://www.aidedd.org/dnd/sorts.php?vo=toll-the-dead,Cantrip,necromancy,1 action,60 ft,"V,S",No,No,The target must succeed on a Wis. save or take 1d8 or 1d12 necrotic damage (damage/lvl).,Xanathar´s Guide to Everything
Tongues,https://www.aidedd.org/dnd/sorts.php?vo=tongues,Level 3,divination,1 action,Touch,"V,M",No,No,The target understands and speaks any spoken language it hears.,Player´s Handbook (SRD)
Transmute Rock,https://www.aidedd.org/dnd/sorts.php?vo=transmute-rock,Level 5,transmutation,1 action,120 ft,"V,S,M",No,No,Transform a 40-ft cube of rock into mud or of mud into rock.,Xanathar´s Guide to Everything
Transport via Plants,https://www.aidedd.org/dnd/sorts.php?vo=transport-via-plants,Level 6,conjuration,1 action,10 ft,"V,S",No,No,The caster can move from one plant to another plant (Large or larger) using 5 ft.,Player´s Handbook (SRD)
Tree Stride,https://www.aidedd.org/dnd/sorts.php?vo=tree-stride,Level 5,conjuration,1 action,Self,"V,S",Yes,No,The caster can move from one tree to another tree of the same kind (500 ft max between both) using 5 ft.,Player´s Handbook (SRD)
True Polymorph,https://www.aidedd.org/dnd/sorts.php?vo=true-polymorph,Level 9,transmutation,1 action,30 ft,"V,S,M",Yes,No,Transform a creature or object into a new creature or object whose CR or level is equal to or less than the creature's CR.,Player´s Handbook (SRD)
True Resurrection,https://www.aidedd.org/dnd/sorts.php?vo=true-resurrection,Level 9,necromancy,1 hour,Touch,"V,S,M",No,No,"Take back to life (all hp) a creature died for no longer than 200 years (except of old age), even without the original body.",Player´s Handbook (SRD)
True Seeing,https://www.aidedd.org/dnd/sorts.php?vo=true-seeing,Level 6,divination,1 action,Touch,"V,S,M",No,No,"The target gets truesight, sees magic secret doors and in the Ethereal Plane.",Player´s Handbook (SRD)
True Strike,https://www.aidedd.org/dnd/sorts.php?vo=true-strike,Cantrip,divination,1 action,30 ft,S,Yes,No,The caster gains advantage on his first attack roll against a target.,Player´s Handbook (SRD)
Tsunami,https://www.aidedd.org/dnd/sorts.php?vo=tsunami,Level 8,conjuration,1 minute,Sight,"V,S",Yes,No,"Creatures in a 300-ft-long, 300-ft-high, 50-ft-thick area must succeed on a Str. save or take 6d10 bludgeoning damage.",Player´s Handbook
Unseen Servant,https://www.aidedd.org/dnd/sorts.php?vo=unseen-servant,Level 1,conjuration,1 action,60 ft,"V,S,M",No,Yes,"Create an invisible servant who performs simple tasks (bring something back, clean up, maintain a fire, serve at table, etc).",Player´s Handbook (SRD)
Vampiric Touch,https://www.aidedd.org/dnd/sorts.php?vo=vampiric-touch,Level 3,necromancy,1 action,Self,"V,S",Yes,No,"If the spell attack hits, deals 3d6 necrotic damage (damage/lvl) and the caster regains 50% of his hp.",Player´s Handbook (SRD)
Vicious Mockery,https://www.aidedd.org/dnd/sorts.php?vo=vicious-mockery,Cantrip,enchantment,1 action,60 ft,V,No,No,The target must succeed on a Wis. save or take 1d4 psychic damage and have disadvantage on its attack roll (damage/lvl).,Player´s Handbook (SRD)
Vitriolic Sphere,https://www.aidedd.org/dnd/sorts.php?vo=vitriolic-sphere,Level 4,evocation,1 action,150 ft,"V,S,M",No,No,Creatures within 20-ft must succeed on a Dex. save or take 10d4 acid damage (damage/lvl) then 5d4 acid damage on its turn.,Xanathar´s Guide to Everything
Wall of Fire,https://www.aidedd.org/dnd/sorts.php?vo=wall-of-fire,Level 4,evocation,1 action,120 ft,"V,S,M",Yes,No,Create a 60 x 20 x 1 ft wall of fire. Creatures inside or within 10ft of one side of the wall take 5d8 fire damage (damage/lvl).,Player´s Handbook (SRD)
Wall of Force,https://www.aidedd.org/dnd/sorts.php?vo=wall-of-force,Level 5,evocation,1 action,120 ft,"V,S,M",Yes,No,Create a physically insurmountable wall of force (ten 10-ft panels) immune to all types of damage.,Player´s Handbook (SRD)
Wall of Ice,https://www.aidedd.org/dnd/sorts.php?vo=wall-of-ice,Level 6,evocation,1 action,120 ft,"V,S,M",Yes,No,Create a wall of ice (ten 10-ft panels) that can be damaged and can inflict 5d6 cold damage if passed through (damage/lvl).,Player´s Handbook (SRD)
Wall of Light,https://www.aidedd.org/dnd/sorts.php?vo=wall-of-light,Level 5,evocation,1 action,120 ft,"V,S,M",Yes,No,"Create a 60-ft-long, 10-ft-high, 5-ft-thick wall of light that can deal 4d8 radiant damage to one target (damage/lvl).",Xanathar´s Guide to Everything
Wall of Sand,https://www.aidedd.org/dnd/sorts.php?vo=wall-of-sand,Level 3,evocation,1 action,90 ft,"V,S,M",Yes,No,"Create a 30-ft-long, 10-ft-high, 10-ft-thick sand wall that blocks line of sight (blinded) but not movement.",Xanathar´s Guide to Everything
Wall of Stone,https://www.aidedd.org/dnd/sorts.php?vo=wall-of-stone,Level 5,evocation,1 action,120 ft,"V,S,M",Yes,No,Create a nonmagical wall of stone (ten 10-ft panels) that can be damaged.,Player´s Handbook (SRD)
Wall of Thorns,https://www.aidedd.org/dnd/sorts.php?vo=wall-of-thorns,Level 6,conjuration,1 action,120 ft,"V,S,M",Yes,No,"Create an 60-ft-long, 10-ft-high, 5-ft-thick wall of brush that slows movement and can inflict 7d8 piercing damage (damage/lvl).",Player´s Handbook (SRD)
Wall of Water,https://www.aidedd.org/dnd/sorts.php?vo=wall-of-water,Level 3,evocation,1 action,60 ft,"V,S,M",Yes,No,"Create a 30-ft-long, 10-ft-high, 1-ft-thick wall of water that gives disadvantage on ranged attacks and halved fire damage.",Xanathar´s Guide to Everything
